service_date,station_name,gated_entries
2018-01-10,World Trade Center,823.0
2018-01-11,Airport,6336.0
2018-01-11,Alewife,11692.0
2018-01-11,Andrew,5837.0
2018-01-11,Aquarium,4490.0
2018-01-11,Arlington,6883.0
2018-01-11,Ashmont,8900.0
2018-01-11,Assembly,3089.0
2018-01-11,Back Bay,15993.0
2018-01-11,Beachmont,3073.0
2018-01-11,Bowdoin,2123.0
2018-01-11,Boylston,4204.0
2018-01-11,Braintree,4231.0
2018-01-11,Broadway,6379.0
2018-01-11,Central,15315.0
2018-01-11,Charles/MGH,10181.0
2018-01-11,Chinatown,5642.0
2018-01-11,Community College,3249.0
2018-01-11,Copley,11997.0
2018-01-11,Courthouse,1963.0
2018-01-11,Davis,11841.0
2018-01-11,Downtown Crossing,24753.0
2018-01-11,Fields Corner,4482.0
2018-01-11,Forest Hills,13043.0
2018-01-11,Government Center,6852.0
2018-01-11,Green Street,3448.0
2018-01-11,Harvard,17579.0
2018-01-11,Haymarket,10255.0
2018-01-11,Hynes Convention Center,6618.0
2018-01-11,JFK/UMass,6159.0
2018-01-11,Jackson Square,5374.0
2018-01-11,Kendall/MIT,16537.0
2018-01-11,Kenmore,6329.0
2018-01-11,Lechmere,5675.0
2018-01-11,Malden Center,11081.0
2018-01-11,Massachusetts Avenue,5750.0
2018-01-11,Maverick,10511.0
2018-01-11,North Quincy,9219.0
2018-01-11,North Station,14520.0
2018-01-11,Oak Grove,6544.0
2018-01-11,Orient Heights,4169.0
2018-01-11,Park Street,16628.0
2018-01-11,Porter,8297.0
2018-01-11,Prudential,3034.0
2018-01-11,Quincy Adams,4554.0
2018-01-11,Quincy Center,8044.0
2018-01-11,Revere Beach,2937.0
2018-01-11,Riverside,1510.0
2018-01-11,Roxbury Crossing,4838.0
2018-01-11,Ruggles,10409.0
2018-01-11,Savin Hill,2251.0
2018-01-11,Science Park,714.0
2018-01-11,Shawmut,2240.0
2018-01-11,South Station,24967.0
2018-01-11,State Street,13388.0
2018-01-11,Stony Brook,3450.0
2018-01-11,Suffolk Downs,422.0
2018-01-11,Sullivan Square,8502.0
2018-01-11,Symphony,1695.0
2018-01-11,Tufts Medical Center,6368.0
2018-01-11,Wellington,7020.0
2018-01-11,Wonderland,6662.0
2018-01-11,Wood Island,2143.0
2018-01-11,World Trade Center,891.0
2018-01-12,Airport,6367.0
2018-01-12,Alewife,10680.0
2018-01-12,Andrew,5720.0
2018-01-12,Aquarium,4136.0
2018-01-12,Arlington,6537.0
2018-01-12,Ashmont,8284.0
2018-01-12,Assembly,2697.0
2018-01-12,Back Bay,15270.0
2018-01-12,Beachmont,2921.0
2018-01-12,Bowdoin,1833.0
